Block/Day/State Update,Txs/State Updates,Project
15548,135,zkSync
15549,108,zkSync
15550,137,zkSync
15551,160,zkSync
15552,155,zkSync
15553,107,zkSync
15554,128,zkSync
15555,126,zkSync
15556,162,zkSync
15557,156,zkSync
15558,115,zkSync
15559,95,zkSync
15560,134,zkSync
15561,154,zkSync
15562,95,zkSync
15563,138,zkSync
15564,150,zkSync
15565,141,zkSync
15566,162,zkSync
15567,147,zkSync
15568,104,zkSync
15569,125,zkSync
15570,119,zkSync
15571,157,zkSync
15572,102,zkSync
15573,140,zkSync
15574,127,zkSync
15575,82,zkSync
15576,134,zkSync
15577,138,zkSync
15578,110,zkSync
15579,143,zkSync
15580,146,zkSync
15581,136,zkSync
15582,122,zkSync
15583,95,zkSync
15584,141,zkSync
15585,76,zkSync
15586,171,zkSync
15587,111,zkSync
15588,104,zkSync
15589,136,zkSync
15590,119,zkSync
15591,149,zkSync
15592,152,zkSync
15593,153,zkSync
15594,123,zkSync
15595,102,zkSync
15596,146,zkSync
15597,156,zkSync
15598,114,zkSync
15599,135,zkSync
15600,155,zkSync
15601,113,zkSync
15602,155,zkSync
15603,95,zkSync
15604,126,zkSync
15605,91,zkSync
15606,96,zkSync
15607,124,zkSync
15608,131,zkSync
15609,120,zkSync
15610,109,zkSync
15611,98,zkSync
15612,91,zkSync
15613,124,zkSync
15614,127,zkSync
15615,137,zkSync
15616,136,zkSync
15617,97,zkSync
15618,139,zkSync
15619,88,zkSync
15620,116,zkSync
15621,165,zkSync
15622,154,zkSync
15623,93,zkSync
15624,142,zkSync
15625,110,zkSync
15626,111,zkSync
15627,98,zkSync
15628,109,zkSync
15629,118,zkSync
15630,97,zkSync
15631,150,zkSync
15632,151,zkSync
15633,129,zkSync
15634,105,zkSync
15635,97,zkSync
15636,147,zkSync
15637,99,zkSync
15638,114,zkSync
15639,126,zkSync
15640,147,zkSync
15641,105,zkSync
15642,115,zkSync
15643,108,zkSync
15644,95,zkSync
15645,109,zkSync
15646,122,zkSync
15647,156,zkSync
15648,109,zkSync
15649,137,zkSync
15650,135,zkSync
15651,134,zkSync
15652,147,zkSync
15653,152,zkSync
15654,149,zkSync
15655,128,zkSync
15656,123,zkSync
15657,155,zkSync
15658,147,zkSync
15659,121,zkSync
15660,98,zkSync
15661,125,zkSync
15662,119,zkSync
15663,106,zkSync
15664,130,zkSync
15665,115,zkSync
15666,107,zkSync
15667,126,zkSync
15668,110,zkSync
15669,145,zkSync
15670,134,zkSync
15671,146,zkSync
15672,102,zkSync
15673,147,zkSync
15674,110,zkSync
15675,132,zkSync
15676,112,zkSync
15677,144,zkSync
15678,111,zkSync
15679,141,zkSync
15680,123,zkSync
15681,121,zkSync
15682,110,zkSync
15683,131,zkSync
15684,127,zkSync
15685,149,zkSync
15686,103,zkSync
15687,133,zkSync
15688,138,zkSync
15689,130,zkSync
15690,137,zkSync
15691,149,zkSync
15692,165,zkSync
15693,158,zkSync
15694,88,zkSync
15695,157,zkSync
15696,139,zkSync
15697,151,zkSync
15698,116,zkSync
15699,122,zkSync
15700,114,zkSync
15701,114,zkSync
15702,157,zkSync
15703,144,zkSync
15704,129,zkSync
15705,94,zkSync
15706,109,zkSync
15707,150,zkSync
15708,79,zkSync
15709,91,zkSync
15710,139,zkSync
15711,146,zkSync
15712,122,zkSync
15713,122,zkSync
15714,159,zkSync
15715,96,zkSync
15716,142,zkSync
15717,152,zkSync
15718,127,zkSync
15719,117,zkSync
15720,151,zkSync
15721,136,zkSync
15722,117,zkSync
15723,109,zkSync
15724,121,zkSync
15725,100,zkSync
15726,162,zkSync
15727,107,zkSync
15728,109,zkSync
15729,139,zkSync
15730,101,zkSync
15731,79,zkSync
15732,144,zkSync
15733,153,zkSync
15734,131,zkSync
15735,105,zkSync
15736,125,zkSync
15737,111,zkSync
15738,168,zkSync
15739,110,zkSync
15740,132,zkSync
15741,138,zkSync
15742,127,zkSync
15743,115,zkSync
15744,133,zkSync
15745,88,zkSync
15746,115,zkSync
15747,116,zkSync
15748,108,zkSync
15749,92,zkSync
15750,170,zkSync
15751,142,zkSync
15752,139,zkSync
15753,144,zkSync
15754,158,zkSync
15755,142,zkSync
15756,141,zkSync
15757,148,zkSync
15758,133,zkSync
15759,152,zkSync
15760,151,zkSync
15761,107,zkSync
15762,128,zkSync
15763,126,zkSync
15764,119,zkSync
15765,117,zkSync
15766,94,zkSync
15767,146,zkSync
15768,147,zkSync
15769,111,zkSync
15770,109,zkSync
15771,117,zkSync
15772,125,zkSync
15773,141,zkSync
15774,129,zkSync
15775,117,zkSync
15776,156,zkSync
15777,132,zkSync
15778,109,zkSync
15779,122,zkSync
15780,161,zkSync
15781,150,zkSync
15782,129,zkSync
15783,111,zkSync
15784,109,zkSync
15785,139,zkSync
15786,134,zkSync
15787,135,zkSync
15788,102,zkSync
15789,119,zkSync
15790,110,zkSync
15791,160,zkSync
15792,129,zkSync
15793,121,zkSync
15794,91,zkSync
15795,153,zkSync
15796,120,zkSync
15797,139,zkSync
15798,141,zkSync
15799,144,zkSync
15800,137,zkSync
15801,135,zkSync
15802,151,zkSync
15803,145,zkSync
15804,144,zkSync
15805,143,zkSync
15806,114,zkSync
15807,153,zkSync
15808,129,zkSync
15809,118,zkSync
15810,83,zkSync
15811,118,zkSync
15812,131,zkSync
15813,113,zkSync
15814,127,zkSync
15815,141,zkSync
15816,147,zkSync
15817,138,zkSync
15818,92,zkSync
15819,140,zkSync
15820,127,zkSync
15821,154,zkSync
15822,149,zkSync
15823,140,zkSync
15824,126,zkSync
15825,111,zkSync
15826,137,zkSync
15827,141,zkSync
15828,151,zkSync
15829,98,zkSync
15830,132,zkSync
15831,122,zkSync
15832,98,zkSync
15833,111,zkSync
15834,135,zkSync
15835,127,zkSync
15836,124,zkSync
15837,137,zkSync
15838,147,zkSync
15839,126,zkSync
15840,154,zkSync
15841,111,zkSync
15842,123,zkSync
15843,131,zkSync
15844,125,zkSync
15845,121,zkSync
15846,133,zkSync
15847,124,zkSync
15848,139,zkSync
15849,121,zkSync
15850,119,zkSync
15851,126,zkSync
15852,130,zkSync
15853,119,zkSync
15854,122,zkSync
15855,116,zkSync
15856,108,zkSync
15857,130,zkSync
15858,130,zkSync
15859,152,zkSync
15860,111,zkSync
15861,145,zkSync
15862,139,zkSync
15863,138,zkSync
15864,159,zkSync
15865,146,zkSync
15866,109,zkSync
15867,123,zkSync
15868,138,zkSync
15869,103,zkSync
15870,144,zkSync
15871,115,zkSync
15872,125,zkSync
15873,146,zkSync
15874,99,zkSync
15875,100,zkSync
15876,120,zkSync
15877,160,zkSync
15878,152,zkSync
15879,102,zkSync
15880,119,zkSync
15881,143,zkSync
15882,127,zkSync
15883,132,zkSync
15884,143,zkSync
15885,112,zkSync
15886,146,zkSync
15887,137,zkSync
15888,159,zkSync
15889,143,zkSync
15890,147,zkSync
15891,121,zkSync
15892,119,zkSync
15893,118,zkSync
15894,157,zkSync
15895,107,zkSync
15896,97,zkSync
15897,104,zkSync
15898,97,zkSync
15899,122,zkSync
15900,117,zkSync
15901,116,zkSync
15902,109,zkSync
15903,128,zkSync
15904,114,zkSync
15905,123,zkSync
15906,112,zkSync
15907,116,zkSync
15908,101,zkSync
15909,153,zkSync
15910,109,zkSync
15911,102,zkSync
15912,133,zkSync
15913,112,zkSync
15914,110,zkSync
15915,166,zkSync
15916,128,zkSync
15917,106,zkSync
15918,135,zkSync
15919,144,zkSync
15920,141,zkSync
15921,146,zkSync
15922,127,zkSync
15923,110,zkSync
15924,131,zkSync
15925,124,zkSync
15926,114,zkSync
15927,153,zkSync
15928,119,zkSync
15929,111,zkSync
15930,138,zkSync
15931,141,zkSync
15932,128,zkSync
15933,123,zkSync
15934,134,zkSync
15935,117,zkSync
15936,151,zkSync
15937,122,zkSync
15938,94,zkSync
15939,120,zkSync
15940,145,zkSync
15941,139,zkSync
15942,117,zkSync
15943,122,zkSync
15944,112,zkSync
15945,117,zkSync
15946,166,zkSync
15947,100,zkSync
15948,107,zkSync
15949,118,zkSync
15950,134,zkSync
15951,134,zkSync
15952,123,zkSync
15953,126,zkSync
15954,107,zkSync
15955,137,zkSync
15956,112,zkSync
15957,134,zkSync
15958,127,zkSync
15959,136,zkSync
15960,141,zkSync
15961,105,zkSync
15962,134,zkSync
15963,113,zkSync
15964,144,zkSync
15965,120,zkSync
15966,160,zkSync
15967,154,zkSync
15968,114,zkSync
15969,128,zkSync
